service_id,date,exception_type,exception_note,schedule_type
69058-0000001-0,20190609,1,FINAL,SU
69164-0000001-0,20190609,1,FINAL,SU
6916425-0000001-25,20190609,1,FINAL 904 Summer,SU
69213-0000001-0,20190609,1,PRODUCTION,SU
69253-0000001-0,20190609,1,Extra Sun Svc for Padres v Nationals,SU
69162-1111100-0,20190610,1,FINAL,WD
69060-1111100-0,20190610,1,FINAL,WD
69056-1111100-0,20190610,1,FINAL,WD
69170-1111100-0,20190610,1,FINAL,WD
6917025-1111100-25,20190610,1,FINAL 904 Summer,WD
6917031-1111100-31,20190610,1,FINAL High Tech High School,WD
69059-1111100-0,20190610,1,FINAL,WD
69061-1111100-0,20190610,1,FINAL,WD
690617-1111100-7,20190610,1,FINAL Rural 888,WD
69211-1111100-0,20190610,1,PRODUCTION,WD
69166-1111100-0,20190610,1,Schedule #111,WD
69162-1111100-0,20190611,1,FINAL,WD
69060-1111100-0,20190611,1,FINAL,WD
69056-1111100-0,20190611,1,FINAL,WD
69170-1111100-0,20190611,1,FINAL,WD
6917025-1111100-25,20190611,1,FINAL 904 Summer,WD
6917031-1111100-31,20190611,1,FINAL High Tech High School,WD
69059-1111100-0,20190611,1,FINAL,WD
69061-1111100-0,20190611,1,FINAL,WD
69211-1111100-0,20190611,1,PRODUCTION,WD
69166-1111100-0,20190611,1,Schedule #111,WD
69162-1111100-0,20190612,1,FINAL,WD
69060-1111100-0,20190612,1,FINAL,WD
69056-1111100-0,20190612,1,FINAL,WD
69170-1111100-0,20190612,1,FINAL,WD
6917025-1111100-25,20190612,1,FINAL 904 Summer,WD
6917031-1111100-31,20190612,1,FINAL High Tech High School,WD
69059-1111100-0,20190612,1,FINAL,WD
69061-1111100-0,20190612,1,FINAL,WD
69211-1111100-0,20190612,1,PRODUCTION,WD
69166-1111100-0,20190612,1,Schedule #111,WD
69162-1111100-0,20190613,1,FINAL,WD
69060-1111100-0,20190613,1,FINAL,WD
69056-1111100-0,20190613,1,FINAL,WD
69170-1111100-0,20190613,1,FINAL,WD
6917025-1111100-25,20190613,1,FINAL 904 Summer,WD
6917031-1111100-31,20190613,1,FINAL High Tech High School,WD
69059-1111100-0,20190613,1,FINAL,WD
69061-1111100-0,20190613,1,FINAL,WD
6906111-1111100-11,20190613,1,FINAL Rural 892,WD
69211-1111100-0,20190613,1,PRODUCTION,WD
69166-1111100-0,20190613,1,Schedule #111,WD
69162-1111100-0,20190614,1,FINAL,WD
69060-1111100-0,20190614,1,FINAL,WD
69056-1111100-0,20190614,1,FINAL,WD
69170-1111100-0,20190614,1,FINAL,WD
6917025-0000100-25,20190614,1,FINAL 904 Summer,WD
6917025-1111100-25,20190614,1,FINAL 904 Summer,WD
6917031-1111100-31,20190614,1,FINAL High Tech High School,WD
69059-1111100-0,20190614,1,FINAL,WD
69061-1111100-0,20190614,1,FINAL,WD
690617-1111100-7,20190614,1,FINAL Rural 888,WD
690619-1111100-9,20190614,1,FINAL Rural 891,WD
69211-1111100-0,20190614,1,PRODUCTION,WD
69166-1111100-0,20190614,1,Schedule #111,WD
69163-0000010-0,20190615,1,FINAL,SA
69057-0000010-0,20190615,1,FINAL,SA
69165-0000010-0,20190615,1,FINAL,SA
6916525-0000010-25,20190615,1,FINAL 904 Summer,SA
69212-0000010-0,20190615,1,PRODUCTION,SA
69167-0000010-0,20190615,1,Schedule #111,SA
69058-0000001-0,20190616,1,FINAL,SU
69164-0000001-0,20190616,1,FINAL,SU
6916425-0000001-25,20190616,1,FINAL 904 Summer,SU
69213-0000001-0,20190616,1,PRODUCTION,SU
69168-0000001-0,20190616,1,Schedule #111,SU
69162-1111100-0,20190617,1,FINAL,WD
69060-1111100-0,20190617,1,FINAL,WD
69056-1111100-0,20190617,1,FINAL,WD
69170-1111100-0,20190617,1,FINAL,WD
6917025-1111100-25,20190617,1,FINAL 904 Summer,WD
6917031-1111100-31,20190617,1,FINAL High Tech High School,WD
69059-1111100-0,20190617,1,FINAL,WD
69061-1111100-0,20190617,1,FINAL,WD
690617-1111100-7,20190617,1,FINAL Rural 888,WD
69211-1111100-0,20190617,1,PRODUCTION,WD
69166-1111100-0,20190617,1,Schedule #111,WD
69162-1111100-0,20190618,1,FINAL,WD
69060-1111100-0,20190618,1,FINAL,WD
69056-1111100-0,20190618,1,FINAL,WD
69170-1111100-0,20190618,1,FINAL,WD
6917025-1111100-25,20190618,1,FINAL 904 Summer,WD
6917031-1111100-31,20190618,1,FINAL High Tech High School,WD
69059-1111100-0,20190618,1,FINAL,WD
69061-1111100-0,20190618,1,FINAL,WD
69211-1111100-0,20190618,1,PRODUCTION,WD
69166-1111100-0,20190618,1,Schedule #111,WD
69162-1111100-0,20190619,1,FINAL,WD
69060-1111100-0,20190619,1,FINAL,WD
69056-1111100-0,20190619,1,FINAL,WD
69170-1111100-0,20190619,1,FINAL,WD
6917025-1111100-25,20190619,1,FINAL 904 Summer,WD
6917031-1111100-31,20190619,1,FINAL High Tech High School,WD
69059-1111100-0,20190619,1,FINAL,WD
69061-1111100-0,20190619,1,FINAL,WD
69211-1111100-0,20190619,1,PRODUCTION,WD
69166-1111100-0,20190619,1,Schedule #111,WD
69162-1111100-0,20190620,1,FINAL,WD
69060-1111100-0,20190620,1,FINAL,WD
69056-1111100-0,20190620,1,FINAL,WD
69170-1111100-0,20190620,1,FINAL,WD
6917025-1111100-25,20190620,1,FINAL 904 Summer,WD
6917031-1111100-31,20190620,1,FINAL High Tech High School,WD
69059-1111100-0,20190620,1,FINAL,WD
69061-1111100-0,20190620,1,FINAL,WD
6906111-1111100-11,20190620,1,FINAL Rural 892,WD
69211-1111100-0,20190620,1,PRODUCTION,WD
69166-1111100-0,20190620,1,Schedule #111,WD
69162-1111100-0,20190621,1,FINAL,WD
69060-1111100-0,20190621,1,FINAL,WD
69056-1111100-0,20190621,1,FINAL,WD
69170-1111100-0,20190621,1,FINAL,WD
6917025-0000100-25,20190621,1,FINAL 904 Summer,WD
6917025-1111100-25,20190621,1,FINAL 904 Summer,WD
69059-1111100-0,20190621,1,FINAL,WD
69061-1111100-0,20190621,1,FINAL,WD
690617-1111100-7,20190621,1,FINAL Rural 888,WD
690619-1111100-9,20190621,1,FINAL Rural 891,WD
69211-1111100-0,20190621,1,PRODUCTION,WD
69166-1111100-0,20190621,1,Schedule #111,WD
69163-0000010-0,20190622,1,FINAL,SA
69057-0000010-0,20190622,1,FINAL,SA
69165-0000010-0,20190622,1,FINAL,SA
6916525-0000010-25,20190622,1,FINAL 904 Summer,SA
69212-0000010-0,20190622,1,PRODUCTION,SA
69566-0000010-0,20190622,1,Track Closures and McCartney,SA
69058-0000001-0,20190623,1,FINAL,SU
69164-0000001-0,20190623,1,FINAL,SU
6916425-0000001-25,20190623,1,FINAL 904 Summer,SU
69213-0000001-0,20190623,1,PRODUCTION,SU
69568-0000001-0,20190623,1,Track Closures,SU
69162-1111100-0,20190624,1,FINAL,WD
69060-1111100-0,20190624,1,FINAL,WD
69056-1111100-0,20190624,1,FINAL,WD
69170-1111100-0,20190624,1,FINAL,WD
6917025-1111100-25,20190624,1,FINAL 904 Summer,WD
69059-1111100-0,20190624,1,FINAL,WD
69061-1111100-0,20190624,1,FINAL,WD
690617-1111100-7,20190624,1,FINAL Rural 888,WD
69211-1111100-0,20190624,1,PRODUCTION,WD
69166-1111100-0,20190624,1,Schedule #111,WD
69162-1111100-0,20190625,1,FINAL,WD
69060-1111100-0,20190625,1,FINAL,WD
69056-1111100-0,20190625,1,FINAL,WD
69170-1111100-0,20190625,1,FINAL,WD
6917025-1111100-25,20190625,1,FINAL 904 Summer,WD
69059-1111100-0,20190625,1,FINAL,WD
69061-1111100-0,20190625,1,FINAL,WD
69211-1111100-0,20190625,1,PRODUCTION,WD
69166-1111100-0,20190625,1,Schedule #111,WD
69162-1111100-0,20190626,1,FINAL,WD
69060-1111100-0,20190626,1,FINAL,WD
69056-1111100-0,20190626,1,FINAL,WD
69170-1111100-0,20190626,1,FINAL,WD
6917025-1111100-25,20190626,1,FINAL 904 Summer,WD
69059-1111100-0,20190626,1,FINAL,WD
69061-1111100-0,20190626,1,FINAL,WD
69211-1111100-0,20190626,1,PRODUCTION,WD
69166-1111100-0,20190626,1,Schedule #111,WD
69162-1111100-0,20190627,1,FINAL,WD
69060-1111100-0,20190627,1,FINAL,WD
69056-1111100-0,20190627,1,FINAL,WD
69170-1111100-0,20190627,1,FINAL,WD
6917025-1111100-25,20190627,1,FINAL 904 Summer,WD
69059-1111100-0,20190627,1,FINAL,WD
69061-1111100-0,20190627,1,FINAL,WD
6906111-1111100-11,20190627,1,FINAL Rural 892,WD
69211-1111100-0,20190627,1,PRODUCTION,WD
69166-1111100-0,20190627,1,Schedule #111,WD
69162-1111100-0,20190628,1,FINAL,WD
69060-1111100-0,20190628,1,FINAL,WD
69056-1111100-0,20190628,1,FINAL,WD
69170-1111100-0,20190628,1,FINAL,WD
6917025-0000100-25,20190628,1,FINAL 904 Summer,WD
6917025-1111100-25,20190628,1,FINAL 904 Summer,WD
69059-1111100-0,20190628,1,FINAL,WD
69061-1111100-0,20190628,1,FINAL,WD
690617-1111100-7,20190628,1,FINAL Rural 888,WD
690619-1111100-9,20190628,1,FINAL Rural 891,WD
69211-1111100-0,20190628,1,PRODUCTION,WD
69166-1111100-0,20190628,1,Schedule #111,WD
69163-0000010-0,20190629,1,FINAL,SA
69057-0000010-0,20190629,1,FINAL,SA
69165-0000010-0,20190629,1,FINAL,SA
6916525-0000010-25,20190629,1,FINAL 904 Summer,SA
69212-0000010-0,20190629,1,PRODUCTION,SA
69167-0000010-0,20190629,1,Schedule #111,SA
69058-0000001-0,20190630,1,FINAL,SU
69164-0000001-0,20190630,1,FINAL,SU
6916425-0000001-25,20190630,1,FINAL 904 Summer,SU
69213-0000001-0,20190630,1,PRODUCTION,SU
69168-0000001-0,20190630,1,Schedule #111,SU
69162-1111100-0,20190701,1,FINAL,WD
69060-1111100-0,20190701,1,FINAL,WD
69056-1111100-0,20190701,1,FINAL,WD
69170-1111100-0,20190701,1,FINAL,WD
6917025-1111100-25,20190701,1,FINAL 904 Summer,WD
69059-1111100-0,20190701,1,FINAL,WD
69061-1111100-0,20190701,1,FINAL,WD
690617-1111100-7,20190701,1,FINAL Rural 888,WD
69211-1111100-0,20190701,1,PRODUCTION,WD
69166-1111100-0,20190701,1,Schedule #111,WD
69162-1111100-0,20190702,1,FINAL,WD
69060-1111100-0,20190702,1,FINAL,WD
69056-1111100-0,20190702,1,FINAL,WD
69170-1111100-0,20190702,1,FINAL,WD
6917025-1111100-25,20190702,1,FINAL 904 Summer,WD
69059-1111100-0,20190702,1,FINAL,WD
69061-1111100-0,20190702,1,FINAL,WD
69211-1111100-0,20190702,1,PRODUCTION,WD
69166-1111100-0,20190702,1,Schedule #111,WD
69162-1111100-0,20190703,1,FINAL,WD
69060-1111100-0,20190703,1,FINAL,WD
69056-1111100-0,20190703,1,FINAL,WD
69170-1111100-0,20190703,1,FINAL,WD
6917025-1111100-25,20190703,1,FINAL 904 Summer,WD
69059-1111100-0,20190703,1,FINAL,WD
69061-1111100-0,20190703,1,FINAL,WD
6906111-1111100-11,20190703,1,FINAL Rural 892,WD
69211-1111100-0,20190703,1,PRODUCTION,WD
69166-1111100-0,20190703,1,Schedule #111,WD
69229-0000001-0,20190704,1,FINAL,ERRdow
69230-0000001-0,20190704,1,FINAL,ERRdow
6923025-0000001-25,20190704,1,FINAL 904 Summer,ERRdow
69217-0000001-0,20190704,1,PRODUCTION -JULY 4TH,ERRdow
69168-0000001-0,20190704,1,Schedule #111,SU
69162-1111100-0,20190705,1,FINAL,WD
69060-1111100-0,20190705,1,FINAL,WD
69056-1111100-0,20190705,1,FINAL,WD
69170-1111100-0,20190705,1,FINAL,WD
6917025-0000100-25,20190705,1,FINAL 904 Summer,WD
6917025-1111100-25,20190705,1,FINAL 904 Summer,WD
69059-1111100-0,20190705,1,FINAL,WD
69061-1111100-0,20190705,1,FINAL,WD
690617-1111100-7,20190705,1,FINAL Rural 888,WD
690619-1111100-9,20190705,1,FINAL Rural 891,WD
69211-1111100-0,20190705,1,PRODUCTION,WD
